timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2019/03/28 14:13:53.135, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:54.136, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:55.137, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:56.138, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:57.139, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:58.140, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:59.141, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:00.297, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:01.298, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:02.299, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:03.300, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:04.301, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:05.303, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:06.304, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:07.305, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:08.306, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:09.307, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:10.308, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:11.309, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:12.309, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:13.310, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:14.311, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:15.326, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:16.327, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:17.328, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:14:18.329, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
